"族群","股票代號","股票名稱"
"大盤ETF","0050","元大台灣50"
"公用事業","2616","山隆"
"公用事業","6505","台塑化"
"公用事業","8908","欣雄"
"公用事業","8917","欣泰"
"公用事業","8926","台汽電"
"公用事業","8927","北基"
"公用事業","8931","大汽電"
"公用事業","9908","大台北"
"公用事業","9918","欣天然"
"公用事業","9926","新海"
"公用事業","9931","欣高"
"公用事業","9937","全國"
"化學工業","1708","東鹼"
"化學工業","1709","和益"
"化學工業","1710","東聯"
"化學工業","1711","永光"
"化學工業","1712","興農"
"化學工業","1713","國化"
"化學工業","1714","和桐"
"化學工業","1717","長興"
"化學工業","1718","中纖"
"化學工業","1721","三晃"
"化學工業","1722","台肥"
"化學工業","1723","中碳"
"化學工業","1725","元禎"
"化學工業","1726","永記"
"化學工業","1727","中華化"
"化學工業","1730","花仙子"
"化學工業","1732","毛寶"
"化學工業","1735","日勝化"
"化學工業","1742","台蠟"
"化學工業","1773","勝一"
"化學工業","1776","展宇"
"化學工業","3430","奇鈦科"
"化學工業","4706","大恭"
"化學工業","4707","磐亞"
"化學工業","4711","永純"
"化學工業","4714","永捷"
"化學工業","4716","大立"
"化學工業","4720","德淵"
"化學工業","4721","美琪瑪"
"化學工業","4722","國精化"
"化學工業","4739","康普"
"化學工業","4741","泓瀚"
"化學工業","4754","國碳科"
"化學工業","4755","三福化"
"化學工業","4763","材料*-KY"
"化學工業","4764","雙鍵"
"化學工業","4766","南寶"
"化學工業","4767","誠泰科技"
"化學工業","4768","晶呈科技"
"化學工業","4770","上品"
"化學工業","4772","台特化"
"化學工業","6509","聚和"
"手機供應鏈","3008","大立光"
"文化創意業","2926","誠品生活"
"文化創意業","3064","泰偉"
"文化創意業","3083","網龍"
"文化創意業","3086","華義*"
"文化創意業","3293","鈊象"
"文化創意業","3546","宇峻"
"文化創意業","3629","地心引力"
"文化創意業","4806","桂田文創"
"文化創意業","4946","辣椒"
"文化創意業","5263","智崴"
"文化創意業","5478","智冠"
"文化創意業","6101","寬魚國際"
"文化創意業","6111","光聚晶電"
"文化創意業","6144","得利影"
"文化創意業","6169","昱泉"
"文化創意業","6180","橘子"
"文化創意業","6294","智基"
"文化創意業","6482","弘煜科"
"文化創意業","6542","隆中"
"文化創意業","6596","寬宏藝術"
"文化創意業","6856","鑫傳"
"文化創意業","7584","樂意"
"文化創意業","8446","華研"
"文化創意業","8450","霹靂"
"文化創意業","8923","時報"
"文化創意業","9949","琉園"
"水泥工業","1101","台泥"
"水泥工業","1102","亞泥"
"水泥工業","1103","嘉泥"
"水泥工業","1104","環泥"
"水泥工業","1108","幸福"
"水泥工業","1109","信大"
"水泥工業","1110","東泥"
"功率半導體","2441","超豐"
"功率半導體","2481","強茂"
"功率半導體","3675","德微"
"功率半導體","5425","台半"
"功率半導體","6435","大中"
"功率半導體","8255","朋程"
"功率半導體","8261","富鼎"
"半導體","1595","川寶"
"半導體","2302","麗正"
"半導體","2303","聯電"
"半導體","2329","華泰"
"半導體","2330","台積電"
"半導體","2337","旺宏"
"半導體","2338","光罩"
"半導體","2340","台亞"
"半導體","2342","茂矽"
"半導體","2344","華邦電"
"半導體","2351","順德"
"半導體","2363","矽統"
"半導體","2369","菱生"
"半導體","2379","瑞昱"
"半導體","2388","威盛"
"半導體","2401","凌陽"
"半導體","2408","南亞科"
"半導體","2434","統懋"
"半導體","2436","偉詮電"
"半導體","2441","超豐"
"半導體","2449","京元電子"
"半導體","2451","創見"
"半導體","2454","聯發科"
"半導體","2458","義隆"
"半導體","2481","強茂"
"半導體","3006","晶豪科"
"半導體","3014","聯陽"
"半導體","3016","嘉晶"
"半導體","3034","聯詠"
"半導體","3035","智原"
"半導體","3041","揚智"
"半導體","3094","聯傑"
"半導體","3105","穩懋"
"半導體","3122","笙泉"
"半導體","3131","弘塑"
"半導體","3135","凌航"
"半導體","3141","晶宏"
"半導體","3150","鈺寶-創"
"半導體","3169","亞信"
"半導體","3178","公準"
"半導體","3189","景碩"
"半導體","3227","原相"
"半導體","3228","金麗科"
"半導體","3257","虹冠電"
"半導體","3259","鑫創"
"半導體","3260","威剛"
"半導體","3264","欣銓"
"半導體","3265","台星科"
"半導體","3268","海德威"
"半導體","3317","尼克森"
"半導體","3372","典範"
"半導體","3374","精材"
"半導體","3413","京鼎"
"半導體","3438","類比科"
"半導體","3443","創意"
"半導體","3450","聯鈞"
"半導體","3467","台灣精材"
"半導體","3527","聚積"
"半導體","3529","力旺"
"半導體","3530","晶相光"
"半導體","3532","台勝科"
"半導體","3545","敦泰"
"半導體","3555","博士旺"
"半導體","3556","禾瑞亞"
"半導體","3567","逸昌"
"半導體","3581","博磊"
"半導體","3583","辛耘"
"半導體","3588","通嘉"
"半導體","3592","瑞鼎"
"半導體","3661","世芯-KY"
"半導體","3675","德微"
"半導體","3680","家登"
"半導體","3686","達能"
"半導體","3707","漢磊"
"半導體","3711","日月光投控"
"半導體","4749","新應材"
"半導體","4919","新唐"
"半導體","4923","力士"
"半導體","4951","精拓科"
"半導體","4952","凌通"
"半導體","4961","天鈺"
"半導體","4966","譜瑞-KY"
"半導體","4967","十銓"
"半導體","4968","立積"
"半導體","4971","IET-KY"
"半導體","4973","廣穎電通"
"半導體","4991","環宇-KY"
"半導體","5222","全訊"
"半導體","5236","凌陽創新"
"半導體","5269","祥碩"
"半導體","5272","笙科"
"半導體","5274","信驊"
"半導體","5285","界霖"
"半導體","5299","杰力"
"半導體","5302","太欣"
"半導體","5344","立衛"
"半導體","5347","世界"
"半導體","5351","鈺創"
"半導體","5425","台半"
"半導體","5443","均豪"
"半導體","5468","凱鈺"
"半導體","5471","松翰"
"半導體","5483","中美晶"
"半導體","5487","通泰"
"半導體","6103","合邦"
"半導體","6104","創惟"
"半導體","6129","普誠"
"半導體","6138","茂達"
"半導體","6147","頎邦"
"半導體","6182","合晶"
"半導體","6187","萬潤"
"半導體","6202","盛群"
"半導體","6208","日揚"
"半導體","6223","旺矽"
"半導體","6229","研通"
"半導體","6233","旺玖"
"半導體","6237","驊訊"
"半導體","6239","力成"
"半導體","6243","迅杰"
"半導體","6257","矽格"
"半導體","6261","久元"
"半導體","6271","同欣電"
"半導體","6291","沛亨"
"半導體","6411","晶焱"
"半導體","6415","矽力*-KY"
"半導體","6423","億而得"
"半導體","6435","大中"
"半導體","6451","訊芯-KY"
"半導體","6462","神盾"
"半導體","6485","點序"
"半導體","6488","環球晶"
"半導體","6494","九齊"
"半導體","6510","精測"
"半導體","6515","穎崴"
"半導體","6525","捷敏-KY"
"半導體","6526","達發"
"半導體","6531","愛普*"
"半導體","6532","瑞耘"
"半導體","6533","晶心科"
"半導體","6548","長科*"
"半導體","6552","易華電"
"半導體","6568","宏觀"
"半導體","6573","虹揚-KY"
"半導體","6640","均華"
"半導體","6643","M31"
"半導體","6651","全宇昕"
"半導體","6679","鈺太"
"半導體","6683","雍智科技"
"半導體","6684","安格"
"半導體","6693","廣閎科"
"半導體","6695","芯鼎"
"半導體","6708","天擎"
"半導體","6716","應廣"
"半導體","6719","力智"
"半導體","6720","久昌"
"半導體","6732","昇佳電子"
"半導體","6756","威鋒電子"
"半導體","6770","力積電"
"半導體","6788","華景電"
"半導體","6789","采鈺"
"半導體","6799","來頡"
"半導體","6823","濾能"
"半導體","6829","千附精密"
"半導體","6854","錼創科技-KY創"
"半導體","6895","宏碩系統"
"半導體","6907","雅特力-KY"
"半導體","6909","創控"
"半導體","6921","嘉雨思-創"
"半導體","6937","天虹"
"半導體","6953","家碩"
"半導體","6962","奕力-KY"
"半導體","6996","力領科技"
"半導體","7556","意德士科技"
"半導體","7704","明遠精密"
"半導體","7712","博盛半導體"
"半導體","7730","暉盛-創"
"半導體","7734","印能科技"
"半導體","7749","意騰-KY"
"半導體","7751","竑騰"
"半導體","7768","頌勝科技"
"半導體","7769","鴻勁"
"半導體","7770","君曜"
"半導體","7772","耀穎"
"半導體","7810","捷創科技"
"半導體","7822","倍利科"
"半導體","7828","創新服務"
"半導體","8016","矽創"
"半導體","8024","佑華"
